Arnaldo Salvi
Matthias Sammer
Walter Samuel
Alexis Sánchez
Gianni Marco Sansonetti
Sergio Santarini
Davide Santon
Giuliano Sarti
Luigi Sartor
Martín Satriano
Alessandro Savelli
Marco Savioni
Nevio Scala
Alessandro Scanziani
Cristiano Scapolo
Héctor Scarone
Paolo Scheidler
Ezequiel Schelotto
Salvatore Schillaci
Heinrich Schönfeld
Bernard Schuler
Vincenzo Scifo
Luigi Sculli
Clarence Seedorf
Franco Selvaggi
Livio Semelli
Franco Semioli
Andrea Seno
Stefano Sensi
Pietro Serantoni
Aldo Serena
Michele Serena
Sulaiman Sesay-Fullah
Giuseppe Sessa
Duilio Setti
Ciriaco Sforza
Filippo Sgarbi
Alessandro Sgrigna
Xherdan Shaqiri
Luca Siligardi
Massimo Silva
Matías Silvestre
Mikaël Silvestre
Dante Silvestri
Nicolae Simatoc
Diego Simeone
Dario Šimić
Davide Sinigaglia
Guilherme Siqueira
Paolo Sirena
Evert Skoglund
Lennart Skoglund
Milan Škriniar
Silvio Smersy
Bonifacio Smerzi
Wesley Sneijder
Cédric Soares
Santiago Solari
Narciso Soldan
Francesco Soldera
Carlo Soldo
Matteo Solini
Yann Sommer
Gonzalo Sorondo
Rubén Sosa Ardaiz
Paulo Sousa
Dino Spadetto
Djed Spence
Lukas Spendlhofer
Gionatha Spinesi
Aleksandar Stanković
Dejan Stanković
Alen Stevanović
Aco Stojkov
John Stones
Rok Štraus
Carlo Streit
Paolo Stringara
Luis Suárez
David Suazo
Lorenzo Suber
Petar Sučić
Hakan Şükür
Sergio Susmel
Horst Szymaniak
Massimiliano Tacchinardi
Carlo Tacchini
Roberto Tacchini
Mirko Taccola
Francesco Tagliani
Vasco Tagliavini
Carlo Tagnin
Saphir Taïder
Secondo Talamazzini
Junior Tallo
Massimo Tarantino
Marco Tardelli
Mehdi Taremi
Renzo Tasso
Alex Telles
Antonio Tempestilli
Giuseppe Terenzio
Giovanni Terrani
Giovanni Terrile
Giuseppe Testa
Mame Thiam
Piero Thiella
Marcus Thuram
Giorgio Tinazzi
Edmondo Todeschini
Francesco Toldo
Ugo Tomeazzi
Guglielmo Tornabuoni
Paolo Tornaghi
Attilio Tornetti
Antonio Torreano
Alberto Torresin
Umberto Tosi
Paolo Tramezzani
Alassane Traoré
Luca Tremolada
Fabio Tricarico
Roberto Tricella
Egidio Turchi
Michael Thomas Turner
Geōrgios Vagiannidīs
Ambrogio Valadè
Bruno Vale
Giorgio Valentinuzzi
Borja Valero
Vampeta
Sandro Vanello
Zinho Vanheusden
Giovanni Vastola
Eligio Vecchi
Stefano Vecchi
Enzo Vecchiè
Matías Vecino
Nicola Ventola
Arcadio Venturi
Claudio Venturi
Corrado Verdelli
Osvaldo Verdi
Edoardo Vergani
Juan Sebastián Verón
Marco Veronese
Simone Veronese
Arturo Vianello
Giuseppe Viani
Arturo Vidal
Nemanja Vidić
Patrick Vieira
Christian Vieri
Lido Vieri
Oreste Viganò
Walter Viganò
Carlo Villa
Luigi Villa
Simone Villanova
Giovanni Vincenzi
Guido Vincenzi
Luís Vinício
József Viola
Stefano Visca
Gino Visentin
Umberto Visentin
Nelson Vivas
Emiliano Viviano
Jakub Vojtuš
Tomaso Volpi
Roger Vonlanthen
Stefan de Vrij
Šime Vrsaljko
Árpád Weisz
Eugen Wellish
Taribo West
David Wieser
Faas Wilkes
Aron Winter
Max Winter
Arnaldo Woelkel
Pierre Womé
Antar Yahia
Eloge Yao
Ashley Young
Étienne Youté Kinkoué
Franco Zaglio
Bruno Zago
Nicola Zalewski
Luigi Zambaiti
Italo Zamberletti
Iván Zamorano
Andrea Zanchetta
Cristiano Zanetti
Javier Zanetti
Mattia Zanotti
Marco Zanotto
Andrea Zanuttig
Bibiano Zapirain
Mauro Zárate
Giovanni Zaro
Zé Elias
Zé Maria
Pierre Desiré Zebli
Walter Zenga
Ianis Zicu
Piotr Zieliński
Alfredo Zoller
Loris Zonta
Carlos Augusto
Carlo Zoppellari
